label,tp,fp,fn,tn,precision,recall,f1,support,predicted,stage,stage_num,stage_label,model_type,level,policy
Simon_Sinek,621,16,18,1901,0.9748822605965464,0.971830985915493,0.9733542319749215,639,637,clean4_balanced,4,4 speakers,3-exit,segment,selected_policy
Rabin_Sharma,636,16,3,1901,0.9754601226993864,0.9953051643192488,0.9852827265685516,639,652,clean4_balanced,4,4 speakers,3-exit,segment,selected_policy
Oprah_Winfrey,614,3,25,1914,0.9951377633711508,0.9608763693270737,0.9777070063694268,639,617,clean4_balanced,4,4 speakers,3-exit,segment,selected_policy
Les_Brown,71,0,0,213,1.0,1.0,1.0,71,71,clean4_balanced,4,4 speakers,5-exit,clip,dynamic_policy
Simon_Sinek,71,0,0,213,1.0,1.0,1.0,71,71,clean4_balanced,4,4 speakers,5-exit,clip,dynamic_policy
Rabin_Sharma,71,0,0,213,1.0,1.0,1.0,71,71,clean4_balanced,4,4 speakers,5-exit,clip,dynamic_policy
Oprah_Winfrey,71,0,0,213,1.0,1.0,1.0,71,71,clean4_balanced,4,4 speakers,5-exit,clip,dynamic_policy
Les_Brown,71,0,0,213,1.0,1.0,1.0,71,71,clean4_balanced,4,4 speakers,5-exit,clip,full_final
Simon_Sinek,71,0,0,213,1.0,1.0,1.0,71,71,clean4_balanced,4,4 speakers,5-exit,clip,full_final
Rabin_Sharma,71,0,0,213,1.0,1.0,1.0,71,71,clean4_balanced,4,4 speakers,5-exit,clip,full_final
Oprah_Winfrey,71,0,0,213,1.0,1.0,1.0,71,71,clean4_balanced,4,4 speakers,5-exit,clip,full_final
Les_Brown,626,5,13,1912,0.9920760697305864,0.9796557120500784,0.9858267716535432,639,631,clean4_balanced,4,4 speakers,5-exit,segment,final_exit
Simon_Sinek,626,16,13,1901,0.9750778816199376,0.9796557120500784,0.97736143637783,639,642,clean4_balanced,4,4 speakers,5-exit,segment,final_exit
Rabin_Sharma,629,5,10,1912,0.9921135646687698,0.9843505477308294,0.988216810683425,639,634,clean4_balanced,4,4 speakers,5-exit,segment,final_exit
Oprah_Winfrey,631,18,8,1899,0.9722650231124808,0.9874804381846636,0.9798136645962734,639,649,clean4_balanced,4,4 speakers,5-exit,segment,final_exit
Les_Brown,622,5,17,1912,0.9920255183413078,0.97339593114241,0.9826224328593997,639,627,clean4_balanced,4,4 speakers,5-exit,segment,selected_policy
Simon_Sinek,623,20,16,1897,0.968895800933126,0.974960876369327,0.9719188767550702,639,643,clean4_balanced,4,4 speakers,5-exit,segment,selected_policy
Rabin_Sharma,629,6,10,1911,0.9905511811023622,0.9843505477308294,0.9874411302982732,639,635,clean4_balanced,4,4 speakers,5-exit,segment,selected_policy
Oprah_Winfrey,631,20,8,1897,0.9692780337941628,0.9874804381846636,0.9782945736434108,639,651,clean4_balanced,4,4 speakers,5-exit,segment,selected_policy
Les_Brown,66,0,0,264,1.0,1.0,1.0,66,66,clean5_balanced,5,5 speakers,3-exit,clip,dynamic_policy
Mel_Robbins,66,0,0,264,1.0,1.0,1.0,66,66,clean5_balanced,5,5 speakers,3-exit,clip,dynamic_policy
Oprah_Winfrey,66,0,0,264,1.0,1.0,1.0,66,66,clean5_balanced,5,5 speakers,3-exit,clip,dynamic_policy
Rabin_Sharma,66,0,0,264,1.0,1.0,1.0,66,66,clean5_balanced,5,5 speakers,3-exit,clip,dynamic_policy
Simon_Sinek,66,0,0,264,1.0,1.0,1.0,66,66,clean5_balanced,5,5 speakers,3-exit,clip,dynamic_policy
Les_Brown,66,0,0,264,1.0,1.0,1.0,66,66,clean5_balanced,5,5 speakers,3-exit,clip,full_final
Mel_Robbins,66,0,0,264,1.0,1.0,1.0,66,66,clean5_balanced,5,5 speakers,3-exit,clip,full_final
Oprah_Winfrey,66,0,0,264,1.0,1.0,1.0,66,66,clean5_balanced,5,5 speakers,3-exit,clip,full_final
Rabin_Sharma,66,0,0,264,1.0,1.0,1.0,66,66,clean5_balanced,5,5 speakers,3-exit,clip,full_final
Simon_Sinek,66,0,0,264,1.0,1.0,1.0,66,66,clean5_balanced,5,5 speakers,3-exit,clip,full_final
Les_Brown,591,0,3,2376,1.0,0.9949494949494948,0.9974683544303796,594,591,clean5_balanced,5,5 speakers,3-exit,segment,final_exit
Mel_Robbins,589,2,5,2374,0.9966159052453468,0.9915824915824916,0.9940928270042194,594,591,clean5_balanced,5,5 speakers,3-exit,segment,final_exit
Oprah_Winfrey,584,10,10,2366,0.9831649831649832,0.9831649831649832,0.9831649831649832,594,594,clean5_balanced,5,5 speakers,3-exit,segment,final_exit
Rabin_Sharma,592,23,2,2353,0.9626016260162602,0.9966329966329966,0.9793217535153018,594,615,clean5_balanced,5,5 speakers,3-exit,segment,final_exit
Simon_Sinek,569,10,25,2366,0.9827288428324698,0.957912457912458,0.970161977834612,594,579,clean5_balanced,5,5 speakers,3-exit,segment,final_exit
Les_Brown,591,0,3,2376,1.0,0.9949494949494948,0.9974683544303796,594,591,clean5_balanced,5,5 speakers,3-exit,segment,selected_policy
Mel_Robbins,589,2,5,2374,0.9966159052453468,0.9915824915824916,0.9940928270042194,594,591,clean5_balanced,5,5 speakers,3-exit,segment,selected_policy
Oprah_Winfrey,584,10,10,2366,0.9831649831649832,0.9831649831649832,0.9831649831649832,594,594,clean5_balanced,5,5 speakers,3-exit,segment,selected_policy
Rabin_Sharma,592,23,2,2353,0.9626016260162602,0.9966329966329966,0.9793217535153018,594,615,clean5_balanced,5,5 speakers,3-exit,segment,selected_policy
Simon_Sinek,569,10,25,2366,0.9827288428324698,0.957912457912458,0.970161977834612,594,579,clean5_balanced,5,5 speakers,3-exit,segment,selected_policy
Les_Brown,66,0,0,264,1.0,1.0,1.0,66,66,clean5_balanced,5,5 speakers,5-exit,clip,dynamic_policy
Mel_Robbins,66,0,0,264,1.0,1.0,1.0,66,66,clean5_balanced,5,5 speakers,5-exit,clip,dynamic_policy
Oprah_Winfrey,62,0,4,264,1.0,0.9393939393939394,0.96875,66,62,clean5_balanced,5,5 speakers,5-exit,clip,dynamic_policy
Rabin_Sharma,66,0,0,264,1.0,1.0,1.0,66,66,clean5_balanced,5,5 speakers,5-exit,clip,dynamic_policy
Simon_Sinek,66,4,0,260,0.9428571428571428,1.0,0.9705882352941176,66,70,clean5_balanced,5,5 speakers,5-exit,clip,dynamic_policy
Les_Brown,66,0,0,264,1.0,1.0,1.0,66,66,clean5_balanced,5,5 speakers,5-exit,clip,full_final
Mel_Robbins,66,0,0,264,1.0,1.0,1.0,66,66,clean5_balanced,5,5 speakers,5-exit,clip,full_final
Oprah_Winfrey,64,0,2,264,1.0,0.9696969696969696,0.9846153846153848,66,64,clean5_balanced,5,5 speakers,5-exit,clip,full_final
Rabin_Sharma,66,0,0,264,1.0,1.0,1.0,66,66,clean5_balanced,5,5 speakers,5-exit,clip,full_final
Simon_Sinek,66,2,0,262,0.9705882352941176,1.0,0.9850746268656716,66,68,clean5_balanced,5,5 speakers,5-exit,clip,full_final
Les_Brown,591,5,3,2371,0.9916107382550337,0.9949494949494948,0.9932773109243695,594,596,clean5_balanced,5,5 speakers,5-exit,segment,final_exit
Mel_Robbins,584,3,10,2373,0.9948892674616696,0.9831649831649832,0.9889923793395428,594,587,clean5_balanced,5,5 speakers,5-exit,segment,final_exit
Oprah_Winfrey,547,4,47,2372,0.9927404718693283,0.9208754208754208,0.9554585152838428,594,551,clean5_balanced,5,5 speakers,5-exit,segment,final_exit
Rabin_Sharma,572,5,22,2371,0.9913344887348352,0.9629629629629628,0.9769427839453458,594,577,clean5_balanced,5,5 speakers,5-exit,segment,final_exit
Simon_Sinek,588,71,6,2305,0.8922610015174507,0.98989898989899,0.9385474860335196,594,659,clean5_balanced,5,5 speakers,5-exit,segment,final_exit
Les_Brown,587,6,7,2370,0.9898819561551432,0.9882154882154882,0.9890480202190396,594,593,clean5_balanced,5,5 speakers,5-exit,segment,selected_policy
Mel_Robbins,583,3,11,2373,0.9948805460750854,0.9814814814814816,0.9881355932203392,594,586,clean5_balanced,5,5 speakers,5-exit,segment,selected_policy
Oprah_Winfrey,547,4,47,2372,0.9927404718693283,0.9208754208754208,0.9554585152838428,594,551,clean5_balanced,5,5 speakers,5-exit,segment,selected_policy
Rabin_Sharma,566,6,28,2370,0.9895104895104896,0.9528619528619529,0.9708404802744424,594,572,clean5_balanced,5,5 speakers,5-exit,segment,selected_policy
Simon_Sinek,588,80,6,2296,0.8802395209580839,0.98989898989899,0.9318541996830428,594,668,clean5_balanced,5,5 speakers,5-exit,segment,selected_policy
